"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"AMERICAN JOURNAL OF PUBLIC HEALTH","0090-0036","1541-0048","AMER PUBLIC HEALTH ASSOC INC","800 I STREET, NW, WASHINGTON, USA, DC, 20001-3710","English","Public, Environmental & Occupational Health"
"AMERICAN JOURNAL OF SOCIOLOGY","0002-9602","1537-5390","UNIV CHICAGO PRESS","1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954","English","Sociology"
"AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY","1058-0360","1558-9110","AMER SPEECH-LANGUAGE-HEARING ASSOC","2200 RESEARCH BLVD, #271, ROCKVILLE, USA, MD, 20850-3289","English","Rehabilitation | Linguistics"
"AMERICAN JOURNAL ON ADDICTIONS","1055-0496","1521-0391","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Substance Abuse"
"AMERICAN LAW AND ECONOMICS REVIEW","1465-7252","1465-7260","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513","English","Law | Economics"
"AMERICAN POLITICAL SCIENCE REVIEW","0003-0554","1537-5943","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Political Science"
"AMERICAN POLITICS RESEARCH","1532-673X","1552-3373","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Political Science"
"AMERICAN PSYCHOLOGIST","0003-066X","1935-990X","AMER PSYCHOLOGICAL ASSOC","750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242","English","Psychology, Multidisciplinary"
"AMERICAN REVIEW OF PUBLIC ADMINISTRATION","0275-0740","1552-3357","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Public Administration"
"AMERICAN SOCIOLOGICAL REVIEW","0003-1224","1939-8271","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Sociology"
"AMERICAN SPEECH","0003-1283","1527-2133","DUKE UNIV PRESS","905 W MAIN ST, STE 18-B, DURHAM, USA, NC, 27701","English","Linguistics"
"AMERICAS","0003-1615","1533-6247","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","History"
"AMFITEATRU ECONOMIC","1582-9146","2247-9104","EDITURA ASE","PIATA ROMANA, NR 6, SECTOR 1, BUCURESTI, ROMANIA, 701731","Rumanian, English, Romanian","Business | Economics | Management"
"AMME IDARESI DERGISI","1300-1795","1300-1795","ANKARA HACI BAYRAM VELI UNIV","YUCETEPE MAHALLESI 85 CADDE NO 8, CANKAYA, TURKEY, 06570","Turkish","Public Administration"
"ANALES DEL SISTEMA SANITARIO DE NAVARRA","1137-6627","2340-3527","GOBIERNO DE NAVARRA","NAVAS TOLOSA 21, PAMPLONA, SPAIN, 31002","Spanish","Public, Environmental & Occupational Health"
"ANALES DE PSICOLOGIA","0212-9728","1695-2294","UNIV MURCIA","Edificio Pleiades Campus de Espinardo, Murcia, Spain, 30071","Spanish, English","Psychology, Multidisciplinary"
"ANALYSES OF SOCIAL ISSUES AND PUBLIC POLICY","1529-7489","1530-2415","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Social Issues | Psychology, Social"
"ANALYTIC METHODS IN ACCIDENT RESEARCH","2213-6657","2213-6665","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Transportation | Public, Environmental & Occupational Health"
"ANDAMIOS","1870-0063","2594-1917","UNIV AUTONOMA CIUDAD MEXICO","CALLE PROLONGACION SAN ISIDRO NO 151, CUBICULO E-102, COL SAN LORENZO TEZONCO, MEXICO DF, MEXICO, CP 09790","Spanish","Social Sciences, Interdisciplinary"
"ANNALS OF BEHAVIORAL MEDICINE","0883-6612","1532-4796","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513","English","Psychology, Multidisciplinary"
"ANNALS OF CLINICAL PSYCHIATRY","1040-1237","1547-3325","QUADRANT HEALTHCOM INC","7 CENTURY DRIVE, STE 302, PARSIPPANY, USA, NJ, 07054-4603","English","Psychiatry"
"ANNALS OF DYSLEXIA","0736-9387","1934-7243","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Rehabilitation | Education, Special"
"ANNALS OF ECONOMICS AND FINANCE","1529-7373","1529-7373","WUHAN UNIV JOURNALS PRESS","DONGHU RD, 155, WUHAN, PEOPLES R CHINA, HUBEI, 430072","English","Economics"
"ANNALS OF GENERAL PSYCHIATRY","1744-859X","1744-859X","BMC","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW","English","Psychiatry"
"ANNALS OF HUMAN BIOLOGY","0301-4460","1464-5033","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Public, Environmental & Occupational Health | Anthropology"
"ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS","1370-4788","1467-8292","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","Multi-Language","Economics"
"ANNALS OF REGIONAL SCIENCE","0570-1864","1432-0592","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Environmental Studies | Geography | Economics | Regional & Urban Planning"
"ANNALS OF SCIENCE","0003-3790","1464-505X","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","Multi-Language","History & Philosophy Of Science"
"ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE","0002-7162","1552-3349","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Political Science | Social Sciences, Interdisciplinary"
"ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS","2469-4452","2469-4460","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Geography"
"ANNALS OF TOURISM RESEARCH","0160-7383","1873-7722","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","Multi-Language","Sociology | Hospitality, Leisure, Sport & Tourism"
"ANNEE PSYCHOLOGIQUE","0003-5033","1955-2580","PRESSES UNIV FRANCE","6 AVENUE REILLE, PARIS CEDEX 14, FRANCE, 75685","Multi-Language","Psychology, Multidisciplinary"
"ANNUAL REVIEW OF ANTHROPOLOGY","0084-6570","1545-4290","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Anthropology"
"ANNUAL REVIEW OF APPLIED LINGUISTICS","0267-1905","1471-6356","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Linguistics"
"ANNUAL REVIEW OF CLINICAL PSYCHOLOGY","1548-5943","1548-5951","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Psychology, Clinical"
"ANNUAL REVIEW OF CRIMINOLOGY","2572-4568","2572-4568","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Criminology & Penology"
"ANNUAL REVIEW OF ECONOMICS","1941-1383","1941-1391","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Economics"
"ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES","1543-5938","1545-2050","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Environmental Studies"
"ANNUAL REVIEW OF FINANCIAL ECONOMICS","1941-1367","1941-1375","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Economics | Business, Finance"
"ANNUAL REVIEW OF LAW AND SOCIAL SCIENCE","1550-3585","1550-3631","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Sociology | Law"
"ANNUAL REVIEW OF LINGUISTICS","2333-9691","2333-9691","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Linguistics"
"ANNUAL REVIEW OF ORGANIZATIONAL PSYCHOLOGY AND ORGANIZATIONAL BEHAVIOR","2327-0608","2327-0616","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Psychology, Applied | Management"
"ANNUAL REVIEW OF POLITICAL SCIENCE","1094-2939","1545-1577","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Political Science"
"ANNUAL REVIEW OF PSYCHOLOGY","0066-4308","1545-2085","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Psychology, Multidisciplinary"
"ANNUAL REVIEW OF PUBLIC HEALTH","0163-7525","1545-2093","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Public, Environmental & Occupational Health"
"ANNUAL REVIEW OF RESOURCE ECONOMICS","1941-1340","1941-1359","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Environmental Studies | Economics"
"ANNUAL REVIEW OF SOCIOLOGY","0360-0572","1545-2115","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139","English","Sociology"
"ANTHROPOCENE REVIEW","2053-0196","2053-020X","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Environmental Studies"
"ANTHROPOLOGICAL FORUM","0066-4677","1469-2902","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Anthropology"
"ANTHROPOLOGICAL NOTEBOOKS","1408-032X","","SLOVENE ANTHROPOLOGICAL SOC","FAK SPORT, GORTANOVA 22, LJUBLJANA, SLOVENIA, SI-1000","English","Anthropology"
"ANTHROPOLOGICAL QUARTERLY","0003-5491","1534-1518","GEORGE WASHINGTON UNIV INST ETHNOGRAPHIC RESEARCH","GEORGE WASHINGTON UNIV, 2110 G ST, N W, WASHINGTON, USA, DC, 20052","English","Anthropology"
"ANTHROPOLOGICAL THEORY","1463-4996","1741-2641","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Anthropology"
"ANTHROPOLOGIE","0003-5521","1873-5827","ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER","65 RUE CAMILLE DESMOULINS, CS50083, ISSY-LES-MOULINEAUX, FRANCE, 92442","French","Anthropology"
"ANTHROPOLOGISCHER ANZEIGER","0003-5548","0003-5548","E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG","NAEGELE U OBERMILLER, SCIENCE PUBLISHERS, JOHANNESSTRASSE 3A, STUTTGART, GERMANY, D 70176","Multi-Language","Anthropology"
"ANTHROPOLOGY & EDUCATION QUARTERLY","0161-7761","1548-1492","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Anthropology | Education & Educational Research"
"ANTHROPOLOGY & MEDICINE","1364-8470","1469-2910","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Anthropology | Social Sciences, Biomedical | Public, Environmental & Occupational Health"
"ANTHROPOLOGY SOUTHERN AFRICA","2332-3256","2332-3264","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Anthropology"
"ANTHROPOS","0257-9774","","NOMOS VERLAGSGESELLSCHAFT MBH & CO KG","WALDSEESTR 3 5, BADEN-BADEN, GERMANY, 76530","Multi-Language","Anthropology"
"ANTHROPOZOOLOGICA","0761-3032","2107-0881","PUBLICATIONS SCIENTIFIQUES DU MUSEUM, PARIS","CP 39-57, RUE CUVIER, PARIS CEDEX 05, FRANCE, F-75231","French","Anthropology"
"ANTHROZOOS","0892-7936","1753-0377","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Sociology"
"ANTIPODE","0066-4812","1467-8330","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Geography"
"ANTIQUITY","0003-598X","1745-1744","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","Anthropology"
"ANTITRUST LAW JOURNAL","0003-6056","2326-9774","AMER BAR ASSOC, ADMINISTRATIVE LAW & REGULATORY PRACTICE SECTION","321 N CLARK ST, CHICAGO, USA, IL, 60610","English","Law"
"ANUARIO DE PSICOLOGIA JURIDICA","1133-0740","2174-0542","COLEGIO OFICIAL PSICOLOGOS MADRID","C/CUESTA SAN VICENTE, NO 4, 6 PLANTA, MADRID, SPAIN, 28008","Spanish, English","Psychology, Multidisciplinary | Law"
"ANXIETY STRESS AND COPING","1061-5806","1477-2205","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Psychology, Multidisciplinary | Psychiatry"
"AORN JOURNAL","0001-2092","1878-0369","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Nursing"
"APHASIOLOGY","0268-7038","1464-5041","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Rehabilitation | Linguistics"
"APPLIED COGNITIVE PSYCHOLOGY","0888-4080","1099-0720","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychology, Experimental"
"APPLIED DEVELOPMENTAL SCIENCE","1088-8691","1532-480X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Development"
"APPLIED ECONOMIC ANALYSIS","2632-7627","2632-7627","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Economics"
"APPLIED ECONOMIC PERSPECTIVES AND POLICY","2040-5790","2040-5804","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics"
"APPLIED ECONOMICS","0003-6846","1466-4283","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Economics"
"APPLIED ECONOMICS LETTERS","1350-4851","1466-4291","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Economics"
"APPLIED ERGONOMICS","0003-6870","1872-9126","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Psychology, Applied | Ergonomics"
"APPLIED GEOGRAPHY","0143-6228","1873-7730","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Geography"
"APPLIED HEALTH ECONOMICS AND HEALTH POLICY","1175-5652","1179-1896","SPRINGER INT PUBL AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","English","Health Policy & Services | Economics"
"APPLIED LINGUISTICS","0142-6001","1477-450X","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Linguistics"
"APPLIED LINGUISTICS REVIEW","1868-6303","1868-6311","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","English","Linguistics"
"APPLIED MEASUREMENT IN EDUCATION","0895-7347","1532-4818","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Educational | Education & Educational Research | Psychology, Mathematical"
"APPLIED NURSING RESEARCH","0897-1897","1532-8201","W B SAUNDERS CO-ELSEVIER INC","1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899","English","Nursing"
"APPLIED PSYCHOLINGUISTICS","0142-7164","1469-1817","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Linguistics | Psychology, Experimental"
"APPLIED PSYCHOLOGICAL MEASUREMENT","0146-6216","1552-3497","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Psychology, Mathematical | Social Sciences, Mathematical Methods"
"APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE","0269-994X","1464-0597","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","Multi-Language","Psychology, Applied"
"APPLIED PSYCHOLOGY-HEALTH AND WELL BEING","1758-0846","1758-0854","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychology, Applied"
"APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK","1090-0586","1573-3270","SPRINGER/PLENUM PUBLISHERS","233 SPRING ST, NEW YORK, USA, NY, 10013","English","Psychology, Clinical"
"APPLIED RESEARCH IN QUALITY OF LIFE","1871-2584","1871-2576","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Social Sciences, Interdisciplinary"
"APPLIED SPATIAL ANALYSIS AND POLICY","1874-463X","1874-4621","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Environmental Studies | Regional & Urban Planning | Geography"
"ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES","1866-9557","1866-9565","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Anthropology"
"ARCHAEOLOGY IN OCEANIA","0728-4896","1834-4453","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Anthropology"
"ARCHIVE FOR THE PSYCHOLOGY OF RELIGION-ARCHIV FUR RELIGIONSPSYCHOLOGIE","0084-6724","1573-6121","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","Multi-Language","Psychology, Multidisciplinary"
"ARCHIVES EUROPEENNES DE SOCIOLOGIE","0003-9756","1474-0583","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","Multi-Language","Sociology"
"ARCHIVES OF CLINICAL NEUROPSYCHOLOGY","0887-6177","1873-5843","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Psychology, Clinical"
"ARCHIVES OF NATURAL HISTORY","0260-9541","1755-6260","EDINBURGH UNIV PRESS","THE TUN-HOLYROOD RD, 12 2F JACKSONS ENTRY, EDINBURGH, SCOTLAND, EH8 8PJ","English","History & Philosophy Of Science"
"ARCHIVES OF PSYCHIATRIC NURSING","0883-9417","1532-8228","W B SAUNDERS CO-ELSEVIER INC","1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899","English","Nursing | Psychiatry"
"ARCHIVES OF PUBLIC HEALTH","0778-7367","2049-3258","BMC","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW","English","Public, Environmental & Occupational Health"
"ARCHIVES OF SEXUAL BEHAVIOR","0004-0002","1573-2800","SPRINGER/PLENUM PUBLISHERS","233 SPRING ST, NEW YORK, USA, NY, 10013","English","Psychology, Clinical | Social Sciences, Interdisciplinary"
"ARCHIVES OF SUICIDE RESEARCH","1381-1118","1543-6136","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Multidisciplinary | Psychiatry"
"ARCTIC ANTHROPOLOGY","0066-6939","1933-8139","UNIV WISCONSIN PRESS","JOURNAL DIVISION, 1930 MONROE ST, 3RD FL, MADISON, USA, WI, 53711","English","Anthropology"
"AREA","0004-0894","1475-4762","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Geography"
"ARGUMENTA OECONOMICA","1233-5835","1233-5835","WROCLAW UNIV ECONOMICS","KOMANDORSKA 118-120, WORCLAW, POLAND, 53-345","English","Economics"
"ARGUMENTATION","0920-427X","1572-8374","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Communication | Linguistics"
"ARMED FORCES & SOCIETY","0095-327X","1556-0848","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Political Science | Sociology"
"ARTIFICIAL INTELLIGENCE AND LAW","0924-8463","1572-8382","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Law"
"ARTS & HEALTH","1753-3015","1753-3023","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Public, Environmental & Occupational Health"
"ARTS IN PSYCHOTHERAPY","0197-4556","1873-5878","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Psychology, Clinical | Rehabilitation"
"ASIA EUROPE JOURNAL","1610-2932","1612-1031","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","International Relations"
"ASIAN AMERICAN JOURNAL OF PSYCHOLOGY","1948-1985","1948-1993","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242","English","Psychology, Multidisciplinary | Ethnic Studies"
"ASIAN AND PACIFIC MIGRATION JOURNAL","0117-1968","2057-049X","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Demography"
"ASIAN BUSINESS & MANAGEMENT","1472-4782","1476-9328","PALGRAVE MACMILLAN LTD","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS","English","Business | Management"
"ASIAN ECONOMIC JOURNAL","1351-3958","1467-8381","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics"
"ASIAN ECONOMIC PAPERS","1535-3516","1536-0083","MIT PRESS","ONE ROGERS ST, CAMBRIDGE, USA, MA, 02142-1209","English","Economics"
"ASIAN ECONOMIC POLICY REVIEW","1832-8105","1748-3131","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics"
"ASIAN JOURNAL OF COMMUNICATION","0129-2986","1742-0911","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Communication"
"ASIAN JOURNAL OF CRIMINOLOGY","1871-0131","1871-014X","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Criminology & Penology"
"ASIAN JOURNAL OF SOCIAL PSYCHOLOGY","1367-2223","1467-839X","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychology, Social"
"ASIAN JOURNAL OF SOCIAL SCIENCE","1568-4849","1568-5314","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Social Sciences, Interdisciplinary | Area Studies"
"ASIAN JOURNAL OF TECHNOLOGY INNOVATION","1976-1597","2158-6721","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Business | Economics"
"ASIAN JOURNAL OF WOMENS STUDIES","1225-9276","2377-004X","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Women'S Studies"
"ASIAN JOURNAL OF WTO & INTERNATIONAL HEALTH LAW AND POLICY","1819-5164","","NATL TAIWAN UNIV PRESS","NO 1 SECTION 4, ROOSEVELT RD, TAIPEI, TAIWAN, 106","English","Health Policy & Services | Law | International Relations"
"ASIAN NURSING RESEARCH","1976-1317","2093-7482","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Nursing"
"ASIAN-PACIFIC ECONOMIC LITERATURE","0818-9935","1467-8411","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics"
"ASIAN PERSPECTIVE","0258-9184","0258-9184","KYUNGNAM UNIV, INST FAR EASTERN STUDIES","28-42 SAMCHUNG-DONG, CHONGRO-KU, SEOUL, SOUTH KOREA, 110-230","English","International Relations"
"ASIAN POPULATION STUDIES","1744-1730","1744-1749","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Demography"
"ASIAN STUDIES REVIEW","1035-7823","1467-8403","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Cultural Studies | Area Studies"
